run,ticker,entry_date,entry_px,shares,last_date,bridged,exit_date,exit_px,reason,added,add_date
BASELINE,AVGO,2016-02-01,13.334,749.5877,2016-02-02,False,2016-02-03,13.725,rollback,,
BASELINE,HAL,2016-02-01,31.29,319.3354,2016-02-05,False,2016-02-08,30.74,rollback,,
BASELINE,DOW,2016-02-03,45.73,214.2506,2016-02-11,False,2016-02-12,45.28,rollback,,
BASELINE,CVX,2016-02-09,85.08,108.9885,2016-02-18,False,2016-02-19,86.33,rollback,,
BASELINE,FOXA,2016-02-01,26.84,372.2432,2016-02-23,False,2016-02-24,26.71,rollback,,
BASELINE,XRX,2016-02-01,16.996,587.8152,2016-02-23,False,2016-02-24,16.513,rollback,,
BASELINE,MDLZ,2016-02-01,42.82,233.3374,2016-02-26,False,2016-02-29,40.54,rollback,,
BASELINE,JNPR,2016-02-19,24.0,407.0166,2016-02-26,False,2016-02-29,24.59,rollback,,
BASELINE,KLAC,2016-02-01,6.64,1505.0458,2016-03-02,False,2016-03-03,6.836,rollback,,
BASELINE,LRCX,2016-02-01,7.12,1403.7223,2016-03-08,False,2016-03-09,7.355,rollback,,
BASELINE,JPM,2016-02-01,59.16,168.9318,2016-03-08,False,2016-03-09,59.15,rollback,,
BASELINE,TAP,2016-02-01,90.5,110.4199,2016-03-08,False,2016-03-09,88.6,rollback,,
BASELINE,AMAT,2016-02-01,17.45,572.6364,2016-03-08,False,2016-03-09,19.01,rollback,,
BASELINE,BAC,2016-02-29,12.7,788.5809,2016-03-08,False,2016-03-09,13.17,rollback,,
BASELINE,AIG,2016-03-14,52.59,195.6704,2016-03-21,False,2016-03-22,53.55,rollback,,
BASELINE,GILD,2016-02-16,90.72,104.7284,2016-03-23,False,2016-03-24,89.61,rollback,,
BASELINE,WY,2016-02-24,24.0,405.8842,2016-04-04,False,2016-04-05,30.87,rollback,,
BASELINE,ATVI,2016-02-25,31.98,311.365,2016-04-05,False,2016-04-06,33.89,rollback,,
BASELINE,V,2016-03-17,72.28,143.0051,2016-04-22,False,2016-04-25,78.69,rollback,,
BASELINE,GME,2016-03-30,7.8925,1191.9597,2016-04-22,False,2016-04-25,8.17,index_drop,,
BASELINE,MRO,2016-04-07,10.88,975.603,2016-04-25,False,2016-04-26,14.09,rollback,,
BASELINE,PFE,2016-03-14,30.27,339.9847,2016-04-26,False,2016-04-27,32.98,rollback,,
