seed,final_equity,oos_wealth_x,n_bridges_admitted,n_skip_cap,n_degenerate,n_collision,n_forced_delev,worst_margin_to_equity,trip_maintenance,trip_drift,flag_low_admission
97,480519.34,1.533,670,200,0,712,3,0.7647,False,False,True
98,476956.24,1.756,680,190,0,724,2,0.7624,False,False,True
99,426245.83,1.328,691,179,0,765,3,0.7647,False,False,True
100,559727.8,1.631,683,187,0,776,2,0.7641,False,False,True
101,488059.21,1.246,686,184,0,747,4,0.7667,False,False,True
102,698234.86,1.745,688,182,0,750,5,0.7639,False,False,True
103,383317.23,1.235,667,203,0,711,3,0.7656,False,False,True
104,931085.52,1.79,739,131,0,742,3,0.7632,False,False,True
105,597873.98,1.243,691,179,0,762,6,0.766,False,False,True
106,717046.3,1.794,692,178,0,726,1,0.764,False,False,True
107,655417.26,1.744,704,166,0,708,3,0.7665,False,False,True
108,784740.48,1.483,704,166,0,742,3,0.7647,False,False,True
109,437915.99,1.593,688,182,0,788,4,0.7626,False,False,True
110,438122.61,1.236,687,183,0,757,5,0.7643,False,False,True
111,592818.22,1.8,675,195,0,766,4,0.7665,False,False,True
112,802563.15,1.542,699,171,0,722,3,0.7623,False,False,True
113,535766.82,1.795,689,181,0,754,1,0.7639,False,False,True
114,420855.33,1.701,694,176,0,710,3,0.7622,False,False,True
115,534528.31,1.466,686,184,0,763,3,0.7672,False,False,True
116,576520.91,1.108,682,188,0,705,4,0.763,False,False,True
117,1019621.23,2.054,708,162,0,723,3,0.7641,False,False,True
118,638967.01,1.585,687,183,0,715,4,0.7665,False,False,True
119,465656.49,1.808,704,166,0,721,5,0.7666,False,False,True
120,616972.44,1.208,685,185,0,774,2,0.7659,False,False,True
121,529926.36,1.492,678,192,0,756,5,0.7632,False,False,True
122,490363.99,1.779,701,169,0,698,3,0.7642,False,False,True
123,427720.15,1.41,673,197,0,726,3,0.7659,False,False,True
124,1032698.23,1.922,707,163,0,768,2,0.7675,False,False,True
125,550381.02,1.458,699,171,0,779,3,0.7649,False,False,True
126,571789.75,1.769,673,197,0,783,5,0.7631,False,False,True
