seed,final_equity,oos_wealth_x,n_bridges_admitted,n_skip_cap,n_degenerate,n_collision,n_forced_delev,worst_margin_to_equity,trip_maintenance,trip_drift,flag_low_admission
424,400211.27,1.246,687,183,0,765,3,0.7641,False,False,True
425,296242.66,0.984,685,185,0,823,5,0.7652,False,False,True
426,748458.73,1.93,691,179,0,737,3,0.7657,False,False,True
427,285876.14,1.114,681,189,0,741,9,0.7605,False,False,True
428,600503.01,1.711,664,206,0,795,2,0.7653,False,False,True
429,512675.78,1.193,668,202,0,749,5,0.7641,False,False,True
430,357891.76,1.309,659,211,0,738,1,0.7657,False,False,True
431,581675.81,1.61,704,166,0,742,1,0.7646,False,False,True
432,571799.99,1.582,694,176,0,731,7,0.7631,False,False,True
433,369620.35,1.405,690,180,0,746,4,0.7652,False,False,True
434,598623.7,1.676,697,173,0,700,2,0.7657,False,False,True
435,708022.2,1.852,679,191,0,707,7,0.7592,False,False,True
436,372374.86,1.118,692,178,0,825,3,0.7642,False,False,True
437,769986.42,1.882,700,170,0,758,4,0.7659,False,False,True
438,442626.84,1.486,685,185,0,757,1,0.7653,False,False,True
439,615010.65,1.52,678,192,0,730,7,0.7655,False,False,True
440,384698.32,1.358,656,214,0,795,1,0.7549,False,False,True
441,957031.68,2.066,686,184,0,736,2,0.7655,False,False,True
442,554352.13,1.693,696,174,0,770,6,0.7648,False,False,True
443,785345.03,2.237,694,176,0,777,5,0.7632,False,False,True
444,416518.93,1.632,685,185,0,751,4,0.766,False,False,True
445,608559.6,2.072,702,168,0,702,0,0.7659,False,False,True
446,546109.73,1.549,693,177,0,761,1,0.7617,False,False,True
447,586707.44,1.598,650,220,0,782,4,0.7679,False,False,True
448,925459.14,2.19,691,179,0,727,1,0.7651,False,False,True
449,641913.53,2.092,683,187,0,719,3,0.7628,False,False,True
450,489755.11,1.177,691,179,0,798,1,0.7653,False,False,True
451,600847.15,1.544,674,196,0,738,2,0.7657,False,False,True
452,333057.04,1.485,663,207,0,781,2,0.766,False,False,True
453,1143353.26,1.933,673,197,0,717,3,0.7641,False,False,True
454,486226.14,1.524,681,189,0,800,2,0.7656,False,False,True
455,560185.31,1.439,686,184,0,745,4,0.7618,False,False,True
456,425354.97,1.715,692,178,0,771,1,0.7688,False,False,True
457,611589.67,1.982,695,175,0,697,0,0.7665,False,False,True
458,632082.96,1.652,691,179,0,743,4,0.7651,False,False,True
459,427156.92,1.457,671,199,0,704,3,0.7637,False,False,True
460,405645.26,1.563,667,203,0,732,2,0.7653,False,False,True
461,1112705.49,2.553,708,162,0,772,3,0.7655,False,False,True
462,532143.19,1.364,683,187,0,723,2,0.7624,False,False,True
463,617514.1,1.394,679,191,0,683,2,0.7661,False,False,True
464,295593.92,1.051,664,206,0,774,5,0.7652,False,False,True
465,430153.28,1.466,672,198,0,730,7,0.7622,False,False,True
466,641599.81,1.746,671,199,0,754,1,0.7652,False,False,True
467,374446.29,1.436,704,166,0,718,7,0.7645,False,False,True
468,597034.6,1.619,689,181,0,775,4,0.7615,False,False,True
469,536791.71,1.543,681,189,0,694,1,0.7657,False,False,True
470,650086.69,1.9,713,157,0,779,4,0.7633,False,False,True
471,654677.14,1.681,691,179,0,788,3,0.7649,False,False,True
472,545440.25,2.027,673,197,0,708,1,0.7629,False,False,True
473,1021905.48,2.028,686,184,0,778,1,0.7651,False,False,True
474,737521.37,1.932,681,189,0,730,2,0.7653,False,False,True
475,571920.62,1.345,682,188,0,744,5,0.7652,False,False,True
476,393490.01,1.425,683,187,0,760,1,0.7657,False,False,True
477,611240.19,1.811,697,173,0,706,2,0.7645,False,False,True
478,664751.86,1.893,686,184,0,737,2,0.7608,False,False,True
479,301830.25,1.24,680,190,0,746,3,0.7635,False,False,True
480,646221.26,1.706,686,184,0,687,4,0.7656,False,False,True
481,466914.71,1.98,663,207,0,747,3,0.7631,False,False,True
482,265392.7,1.226,681,189,0,749,3,0.7642,False,False,True
483,459323.65,1.34,675,195,0,791,0,0.766,False,False,True
484,619824.24,1.391,679,191,0,693,9,0.7573,False,False,True
485,634216.65,1.66,691,179,0,708,2,0.7667,False,False,True
486,746415.8,1.894,691,179,0,670,6,0.7666,False,False,True
487,1050844.81,2.31,685,185,0,766,3,0.7656,False,False,True
488,712187.01,1.719,684,186,0,749,3,0.7658,False,False,True
489,353751.93,1.089,687,183,0,738,6,0.7614,False,False,True
490,710503.21,1.771,685,185,0,750,7,0.7576,False,False,True
491,709365.7,2.065,681,189,0,694,4,0.7642,False,False,True
492,803257.98,2.146,676,194,0,687,4,0.7646,False,False,True
493,587491.66,1.808,673,197,0,738,2,0.7664,False,False,True
494,573821.58,1.216,677,193,0,732,2,0.7673,False,False,True
495,711676.3,2.08,701,169,0,682,1,0.7661,False,False,True
496,356064.47,1.267,671,199,0,746,3,0.7635,False,False,True
497,587660.32,1.583,685,185,0,737,4,0.7655,False,False,True
498,687543.07,1.617,658,212,0,741,4,0.7651,False,False,True
499,718337.86,2.135,725,145,0,737,1,0.7638,False,False,True
