cell,month,X_bps,Z_bench_bps,REV_bench_bps,d1_d10_bps,crisis
AREA_EP_f5,2016-01,-90.0973818359728,-98.77120027260898,-48.97639618834489,-151.2463232231848,False
AREA_EP_f5,2016-02,474.5012218213375,228.50114890248074,768.9640408119509,520.9482660805863,False
AREA_EP_f5,2016-03,-48.61658130076375,-89.80692027438296,141.8271085045141,-57.849304388384525,False
AREA_EP_f5,2016-04,41.33178430022026,-0.734403083129092,-117.16811342412446,90.67237927451593,False
AREA_EP_f5,2016-05,137.22243503052817,31.778048258315675,295.7687504252172,151.99878519478023,False
AREA_EP_f5,2016-06,47.99796557063272,-19.226636999417728,-0.5843384293739706,69.22382512855216,False
AREA_EP_f5,2016-07,-21.580694890260443,-58.96535144527312,-22.949367336821236,-34.614759608423945,False
AREA_EP_f5,2016-08,-11.894863031177453,-31.31658345523268,-28.843745855426835,25.073994376725153,False
AREA_EP_f5,2016-09,71.85321205961095,-10.399757028711626,48.4644057871983,55.19109918148248,False
AREA_EP_f5,2016-10,-75.78365312806696,13.101450713777583,93.74510558079065,-32.41761960804929,False
AREA_EP_f5,2016-11,-105.004793191248,-142.4707677597102,-96.24385122914579,-144.1491070604365,False
AREA_EP_f5,2016-12,9.367867614880014,-113.827933147915,60.61184967025237,66.59538199291158,False
AREA_EP_f5,2017-01,3.5233115574851697,4.765976516114894,-12.456476982145542,-3.146362649266818,False
AREA_EP_f5,2017-02,-71.25381542387333,-93.84231077578873,-103.11137935365987,-77.0369905827364,False
AREA_EP_f5,2017-03,-45.546523580795785,12.653145473998057,-16.780032149696556,-53.183534295737,False
AREA_EP_f5,2017-04,-88.23591836225508,-99.23930244647102,-84.15769223565641,-126.1014786511401,False
AREA_EP_f5,2017-05,-22.55256731756293,-60.353337888034524,-97.56737065649055,-39.649753930354365,False
AREA_EP_f5,2017-06,-126.75974246841412,-79.18195382888436,-122.0626158702416,-148.79470034384426,False
AREA_EP_f5,2017-07,-12.243496543558473,34.27421139004942,-101.83955849365225,-9.98222242948188,False
AREA_EP_f5,2017-08,-64.98614477683866,-40.8316215379981,-34.30607754521846,-90.94512487199023,False
AREA_EP_f5,2017-09,-20.543153756867813,-37.95609164921348,-31.602528477891727,-2.5584676881668447,False
AREA_EP_f5,2017-10,-175.17360210788834,-81.05849875764018,-175.2956573966591,-214.5729856110223,False
AREA_EP_f5,2017-11,-71.84460990715476,-74.58051727729065,-78.57854651557264,-84.73237254804162,False
AREA_EP_f5,2017-12,-114.45217104211936,-71.88526292695602,2.891010261257404,-102.81227647348604,False
AREA_EP_f5,2018-01,-28.80062876544763,5.601297224935436,-40.15074886552929,-49.7091997434404,False
AREA_EP_f5,2018-02,49.376042033098756,-15.247737868536657,-5.459119550151222,5.782342367625266,False
AREA_EP_f5,2018-03,52.06673776653445,-43.239606836012015,52.83979132053753,-18.557078650675937,False
AREA_EP_f5,2018-04,19.29253827393967,38.10223528151718,125.32039051915534,66.02617141266118,False
AREA_EP_f5,2018-05,16.741157856826025,145.2618904441811,54.67526604068667,52.97005713137869,False
AREA_EP_f5,2018-06,15.620418621303775,37.02133643500277,16.717259642491758,91.69267852079888,False
AREA_EP_f5,2018-07,33.64512834862082,126.3768399967578,39.055376522927794,74.76723513453587,False
AREA_EP_f5,2018-08,-126.61451153129288,11.449567485608583,-133.45466279974238,-139.87510985385615,False
AREA_EP_f5,2018-09,-2.2239268053665486,143.59360751398552,-81.9607115230415,35.888133016411494,False
AREA_EP_f5,2018-10,88.39674859076295,136.99081266414552,249.57968712697163,210.34715985599593,False
AREA_EP_f5,2018-11,-2.5397315068614175,-57.23107835509042,-81.88245430501034,-36.756914060840984,False
AREA_EP_f5,2018-12,288.6204797219602,195.09564389055976,495.4823916067365,459.5932608413926,False
AREA_EP_f5,2019-01,-16.864514261921226,-17.353892540106457,-12.152357017655262,-18.725939677144318,False
AREA_EP_f5,2019-02,-65.45526520744141,-95.737488288242,-77.25545579559058,-81.45830548896924,False
AREA_EP_f5,2019-03,126.95706024793644,158.16451895209858,107.0207831768762,185.6423422060827,False
AREA_EP_f5,2019-04,94.71078743302841,-38.587663253042656,74.03604067089702,65.45369238128761,False
AREA_EP_f5,2019-05,18.528612896650877,-34.95749743324332,57.71901033228909,79.22593546967657,False
AREA_EP_f5,2019-06,140.5998983130705,131.41110998968884,36.35302871124221,177.30947453274922,False
AREA_EP_f5,2019-07,59.04060467251011,79.20299572277477,-260.21336196538925,85.14863477410844,False
AREA_EP_f5,2019-08,312.83698052025215,237.36934095366712,408.3767397794519,381.09440493545213,False
AREA_EP_f5,2019-09,139.766614413242,120.70226879189036,126.18094687046683,146.1548560521269,False
AREA_EP_f5,2019-10,-161.71681569288035,-132.26215626163997,10.275729712666097,-188.67234505125444,False
AREA_EP_f5,2019-11,0.1592875675737,-26.34611978729627,-12.408196372664293,2.2326785911492077,False
AREA_EP_f5,2019-12,-20.402794184229116,-2.3139542725969453,-23.6493884214453,-25.66863177195943,False
AREA_EP_f5,2020-01,10.376716914029874,-30.98822109894008,11.768285197283936,103.90715278328793,False
AREA_EP_f5,2020-02,-315.3679505177964,141.54592355945076,-760.2128659765725,-714.6623015580883,True
AREA_EP_f5,2020-03,273.12396529703494,205.32391325803957,386.59075901451115,356.8778772811818,True
AREA_EP_f5,2020-04,196.85621172993183,187.17967892602394,-281.9998937837909,219.93926173269492,True
AREA_EP_f5,2020-05,518.8685409790675,680.5125231884251,1581.598773889081,575.7467479320298,True
AREA_EP_f5,2020-06,-48.51040238187911,-65.35998300604605,-50.29913857493453,-245.96291029619104,True
AREA_EP_f5,2020-07,18.644007558336202,65.63318888926806,176.06440329220152,80.29837098411336,False
AREA_EP_f5,2020-08,-39.43628449018636,1.7237136966260365,-51.53642376976294,-50.1784885895051,False
AREA_EP_f5,2020-09,-160.07386039399788,-48.61915897067422,-89.01468147896308,-156.72144393688984,False
AREA_EP_f5,2020-10,-48.92002222528204,22.32127384479324,15.534937128223111,21.16015712536917,False
AREA_EP_f5,2020-11,-247.29132037596483,-212.7581445923126,-209.18074944724222,-301.0854181021309,False
AREA_EP_f5,2020-12,-71.81324854723788,115.10004554507393,-172.40810891883046,-42.24871709080924,False
AREA_EP_f5,2021-01,15.976888790499022,52.75534347988442,263.9953412809938,228.45986538590972,False
AREA_EP_f5,2021-02,-125.17894842862495,-200.2269044693734,-65.72366461934324,-247.72041642359272,False
AREA_EP_f5,2021-03,-18.729813995955887,-79.19085735081029,113.98671906062297,-16.42464073802627,False
AREA_EP_f5,2021-04,-67.83010839291615,-226.26389646263524,81.06813876268222,-116.05401862656461,False
AREA_EP_f5,2021-05,-119.7583122701194,56.17220262006052,-49.4455116483182,-127.75995836996103,False
AREA_EP_f5,2021-06,-131.21730445420073,-33.749580823707845,-322.6043978853688,-217.10791923071562,False
AREA_EP_f5,2021-07,14.348530039586857,-73.04633786888887,36.879841740875065,10.15522956991118,False
AREA_EP_f5,2021-08,31.637057252750502,-16.961250639215432,49.271161862787444,11.668551877392934,False
AREA_EP_f5,2021-09,-23.97611287204133,-84.70746567037848,-66.73040154922872,-196.96392295897354,False
AREA_EP_f5,2021-10,213.7100016193517,112.79085431545703,126.5180436171543,267.21785270669267,False
AREA_EP_f5,2021-11,87.66592933141263,162.01944763542608,9.22868785689028,329.5062137304651,False
AREA_EP_f5,2021-12,-58.998100010268104,-78.39691811098201,-259.7234844423471,-53.73035704030939,False
AREA_EP_f5,2022-01,-64.91398547359748,-63.485812241950306,-64.95786506411036,-151.97021873537312,True
AREA_EP_f5,2022-02,-106.28779775515088,-143.63278689953768,-182.2665454146468,-319.3543071369269,True
