month_start,n_completed,lean_0,lean_1,lean_2,lean_3,lean_4,lean_5,lean_6,lean_7,lean_8,lean_9,lean_10,lean_11,lean_12,lean_13,lean_14,lean_15
2016-01-04,0,,,,,,,,,,,,,,,,
2016-02-01,6847,-0.10601552571569046,-0.10601552571569046,-0.08874038897655138,-0.10601552571569046,-0.0526370195788624,-0.10601552571569046,-0.07093652871596463,-0.10601552571569046,-0.10601552571569046,-0.10601552571569046,-0.10601552571569046,-0.10601552571569046,-0.10601552571569046,-0.10601552571569046,-0.10601552571569046,-0.10601552571569046
2016-03-01,16655,-0.12592945642644737,-0.12592945642644737,-0.03465407281751729,-0.12592945642644737,-0.0024058362920857867,-0.09401764020283997,-0.07078390211665982,-0.19587988831601713,-0.07738222514109241,-0.15560415796098587,-0.12592945642644737,-0.1276469424551108,-0.12592945642644737,-0.12592945642644737,-0.12592945642644737,-0.12592945642644737
2016-04-01,27468,-0.12122048849263527,-0.12122048849263527,-0.03754264900520701,-0.12122048849263527,-0.016525248657980402,-0.1065858652760227,-0.1832937950302254,-0.19356029696814797,0.02288925094660332,-0.05889133293092016,0.024681801668160697,-0.06146229867533357,-0.12122048849263527,-0.12122048849263527,-0.12122048849263527,-0.12122048849263527
2016-05-02,37824,-0.09188748687997766,-0.09188748687997766,-0.06107936867957882,-0.09188748687997766,-0.09729571433390528,-0.11101507678410286,-0.12694987201145314,-0.15184582361222027,-0.011654574598651553,-0.035426331386336316,0.022960309890978255,-0.05498149670875465,-0.09188748687997766,-0.09188748687997766,-0.09188748687997766,-0.09188748687997766
2016-06-01,48176,-0.03355318172806733,-0.08209107551052529,-0.06372929476415808,-0.08209107551052529,-0.15484379864059739,-0.07789114854993183,-0.09950057804175383,-0.13338250865701545,-0.045918979325196896,-0.06338169293888304,-0.05701623872818245,-0.08632560427177571,-0.08209107551052529,-0.08209107551052529,-0.08209107551052529,-0.08209107551052529
2016-07-01,59033,-0.03005676087318066,-0.09122153177157634,-0.06605244448358079,-0.09122153177157634,-0.16539359943743484,-0.09483790136006422,-0.11688555568147392,-0.1549200661863014,-0.05160915831239463,-0.08758834821696834,-0.04009934544812169,-0.0742162633889689,-0.09122153177157634,-0.09122153177157634,-0.09122153177157634,-0.09122153177157634
2016-08-01,68908,-0.04993016725432725,-0.07892606569388604,-0.1082345725709021,-0.07892606569388604,-0.1980649908242991,-0.11752005210593792,-0.11190228566452089,-0.16466040100485094,-0.03667369981584102,-0.08898660166440729,-0.01843446568934263,-0.05883657322162553,-0.07892606569388604,-0.07195109726435243,-0.07892606569388604,-0.07892606569388604
2016-09-01,80362,-0.03767902082035505,-0.060886436587735265,-0.10199916287586933,-0.060886436587735265,-0.1683241819848755,-0.06287588713427852,-0.08197139465913693,-0.09577416026230125,-0.031784469092773916,-0.07159666506370223,0.012560523534846465,-0.053161913220026155,-0.060886436587735265,-0.06344255061830244,-0.060886436587735265,-0.060886436587735265
2016-10-03,90865,-0.028045693408397895,-0.059840547121703135,-0.09563127709015208,-0.059840547121703135,-0.15204569330362544,-0.026101564703108114,-0.06800498397966753,-0.07552251510404775,-0.03921279968903591,-0.08558378552159672,0.018553159856992747,-0.07357288352684857,-0.059840547121703135,-0.06142455117448479,-0.059840547121703135,-0.059840547121703135
2016-11-01,101386,-0.032705488095290426,-0.06088103448557505,-0.0937143333984048,-0.06088103448557505,-0.13236665256856547,-0.012924856877193113,-0.07202314050810306,-0.06094612463010761,-0.04660956881660329,-0.08913561884529625,0.01664982500375692,-0.08464848865663982,-0.06088103448557505,-0.06391576363377308,-0.06088103448557505,-0.06088103448557505
2016-12-01,111907,-0.03389501800837353,-0.04842322013952508,-0.07876894542865322,-0.04842322013952508,-0.11960509701871382,0.012969561300246105,-0.06641373773863926,-0.052592253999201734,-0.04071089338853175,-0.06936889918818874,0.012604603794905717,-0.06297468907574034,-0.04842322013952508,-0.07210060834929741,-0.04842322013952508,-0.04842322013952508
2017-01-03,122442,-0.03566501576108998,-0.03759186431711343,-0.07468448224294254,-0.03759186431711343,-0.10731984223047794,0.016985597083407945,-0.04779511298382217,-0.0469448283485707,-0.024417422964611697,-0.06556514385848088,0.04111159685171487,-0.06573680592226434,-0.03759186431711343,-0.0728193747600026,-0.03759186431711343,-0.03759186431711343
2017-02-01,132492,-0.029883555749649758,-0.03159380376686818,-0.06973913434870424,-0.03159380376686818,-0.10215414332410397,0.017539581074017967,-0.04052846157792897,-0.036003482609868354,-0.019155510750127083,-0.05498713316969885,0.04022857437143468,-0.06457185693393616,-0.03159380376686818,-0.06987221398401026,-0.03159380376686818,-0.03159380376686818
2017-03-01,142047,-0.03985215902723445,-0.029125994526430537,-0.07822960486234125,-0.029125994526430537,-0.10210508713602996,0.02094931921152215,-0.03638525761666652,-0.03413102994210418,-0.015728375205791546,-0.047075701556864566,0.031107650022459847,-0.05439447011914177,-0.029125994526430537,-0.06205229250529357,-0.029125994526430537,-0.029125994526430537
2017-04-03,153599,-0.036840771219642694,-0.02964980698924424,-0.08628430550651128,-0.02964980698924424,-0.10238181906981397,0.03119862264855912,-0.04409856937483117,-0.030804794284558706,-0.016219451336731784,-0.04549755963160368,0.032475528228978326,-0.05690168473733489,-0.02964980698924424,-0.06155074613592926,-0.02964980698924424,-0.02964980698924424
2017-05-01,163143,-0.03315245815652095,-0.02601036456607844,-0.08586196892106165,-0.02601036456607844,-0.09229661541948593,0.03940254331570194,-0.04120247625893336,-0.01916730876552625,-0.012744483424724515,-0.04292996998874896,0.03380432210863041,-0.054404641188452674,-0.02601036456607844,-0.05542988927426898,-0.02601036456607844,-0.02601036456607844
2017-06-01,174187,-0.03215551848477378,-0.02725947960477916,-0.07579280692395059,-0.02725947960477916,-0.0897150090390936,0.03531639075797355,-0.03843588541334043,-0.02488938320862496,-0.01543581309104904,-0.04156725774156596,0.03811175355072547,-0.05074538578691312,-0.02725947960477916,-0.04721653000218943,-0.02725947960477916,-0.02725947960477916
2017-07-03,185225,-0.03106731454917397,-0.029229729419054565,-0.07208604301808212,-0.029229729419054565,-0.09007511629660049,0.01846135309769313,-0.036620294821245736,-0.027151609121020565,-0.01807853277921596,-0.03936574589940995,0.03313428443683695,-0.057203683995206485,-0.029229729419054565,-0.07474814715245548,-0.029229729419054565,-0.029229729419054565
2017-08-01,195260,-0.027610177654269867,-0.0318010280213208,-0.07284273867436454,-0.0318010280213208,-0.08933837148800172,0.015168440884325481,-0.040906953187327795,-0.02650156767642015,-0.02280992097040364,-0.044461310670685726,0.032487424682616395,-0.05489413367268194,-0.0318010280213208,-0.07489845578175629,-0.0318010280213208,-0.0318010280213208
2017-09-01,206810,-0.011024162192743669,-0.03560488745735119,-0.0466804655586045,-0.0015955867375065892,-0.07899930815701062,0.028218972225548818,-0.046592127858445916,-0.028134847794320062,-0.028724663014759868,-0.04659974275483812,0.025245838078174664,-0.057522129371971153,-0.03560488745735119,-0.06172930271553305,-0.03560488745735119,-0.03560488745735119
2017-10-02,216817,-0.009853373353957143,-0.03582699576030234,-0.05346027449485291,-0.013985911096987278,-0.076200935888428,0.0178175666644259,-0.04510750052992436,-0.030027865709378487,-0.027394317843929417,-0.0449444591075534,0.023800990553101985,-0.05551361318206391,-0.03582699576030234,-0.05757840483290662,-0.03582699576030234,-0.03582699576030234
2017-11-01,227839,-0.016162720642788442,-0.037229255230741144,-0.054187934237027544,-0.014566310732965078,-0.07703549690473227,0.016536968104644615,-0.044352204052151165,-0.031438789826076424,-0.030480622894172874,-0.04787596360525489,0.022102521184758965,-0.05322036739677068,-0.037229255230741144,-0.05477511124926071,-0.037229255230741144,-0.037229255230741144
2017-12-01,238360,-0.01640612443918788,-0.03475103651622162,-0.0537073129500017,-0.02757251265675531,-0.07377418969263494,0.01423382629950537,-0.042602798274584554,-0.02970643905305441,-0.027797443455914825,-0.04418702250807823,0.018696113307241875,-0.05050659366877941,-0.03475103651622162,-0.05514382540924231,-0.03475103651622162,-0.03475103651622162
2018-01-02,248392,-0.019655944144691316,-0.03262725295376184,-0.05438522246339581,-0.034596202904140366,-0.07735952193813138,0.01504184595637712,-0.04159257767364646,-0.027615657451034996,-0.025357966077032328,-0.04079443661083455,0.014610761335013043,-0.04903330769987936,-0.03262725295376184,-0.04292222153913954,-0.03262725295376184,-0.03262725295376184
2018-02-01,258928,-0.021523232633281274,-0.02855285377393938,-0.053785387237561065,-0.06594576850181888,-0.08073171708939482,0.007846162528431544,-0.03994614897841856,-0.025709297516303773,-0.017078639854551863,-0.03519559355217171,0.027659988590920326,-0.038259803408504656,-0.02855285377393938,-0.022353536787839873,-0.02855285377393938,-0.02855285377393938
2018-03-01,268464,0.049325151090772124,-0.043822508314545115,-0.05285327467035048,-0.0456670550919532,-0.09515172310647642,0.0003824777228731199,-0.05911690797225169,-0.034543779051303895,-0.043664461788571224,-0.039155861216113974,-0.029236116715549397,-0.051758359302769064,-0.043822508314545115,-0.0673639329459189,-0.043822508314545115,-0.043822508314545115
2018-04-02,278980,0.05095259352668805,-0.0506487976861457,-0.049097165284898325,-0.04017865423114003,-0.09251141056972344,0.0023964675128629303,-0.06910799057374292,-0.04025198078270098,-0.05650587634252344,-0.04488254448544108,-0.036614194607928766,-0.05791892873951227,-0.11543441002392671,-0.07171840060716297,-0.0506487976861457,-0.0506487976861457
2018-05-01,289496,0.05202858624042445,-0.05079239816559438,-0.04980510830742709,-0.03277130514396368,-0.08898861857246634,-0.005665166656782179,-0.06674846331760184,-0.03799083214705674,-0.055436220799634235,-0.04709465797911145,-0.03638146586391159,-0.06513264941233014,-0.1210942390396994,-0.06621492590910887,-0.05079239816559438,-0.05079239816559438
2018-06-01,300531,0.047512895868166205,-0.05153375653900511,-0.05067318193438826,-0.019663140693273944,-0.08835291422392835,-0.002169064040928774,-0.06425193118970134,-0.037837322448293534,-0.05913783832424146,-0.048532285703272476,-0.040056067669229124,-0.07161302857545021,-0.09613845591150871,-0.06676028847484237,-0.05153375653900511,-0.05153375653900511
2018-07-02,311046,0.04618249099105322,-0.05148358890820008,-0.049105889486200094,-0.015029843834971702,-0.08601241584760119,-0.002045158597666278,-0.06634308400517296,-0.03555699424649345,-0.058387816213075636,-0.0485593878395843,-0.04344517329685988,-0.0711217823837276,-0.09722192799333787,-0.06565666577622241,-0.05148358890820008,-0.05148358890820008
2018-08-01,321567,0.043113347671129516,-0.05006139463111039,-0.056255987623536785,-0.012028033625993735,-0.08615670837994406,-0.0034495557478229715,-0.06506156363811515,-0.03564504502118512,-0.05713138834610396,-0.04574211983242969,-0.04137190971286974,-0.06996491365738135,-0.10347729201199596,-0.05946635773679242,-0.05006139463111039,-0.05006139463111039
