arm,null,seed,final_equity
ADDS_LEAN_SELECT,N1,111,523355.6
ADDS_LEAN_SELECT,N1,112,480778.74
ADDS_LEAN_SELECT,N1,113,601456.1
ADDS_LEAN_SELECT,N1,114,532560.53
ADDS_LEAN_SELECT,N1,115,601372.38
ADDS_LEAN_SELECT,N1,116,594621.41
ADDS_LEAN_SELECT,N1,117,480156.85
ADDS_LEAN_SELECT,N1,118,630225.15
ADDS_LEAN_SELECT,N1,119,544636.7
ADDS_LEAN_SELECT,N1,120,600438.53
ADDS_LEAN_SELECT,N1,121,636589.49
ADDS_LEAN_SELECT,N1,122,494724.47
ADDS_LEAN_SELECT,N1,123,586314.88
ADDS_LEAN_SELECT,N1,124,573027.29
ADDS_LEAN_SELECT,N1,125,558946.91
ADDS_LEAN_SELECT,N1,126,552544.71
ADDS_LEAN_SELECT,N1,127,494876.97
ADDS_LEAN_SELECT,N1,128,684343.47
ADDS_LEAN_SELECT,N1,129,510162.18
ADDS_LEAN_SELECT,N1,130,617003.3
ADDS_LEAN_SELECT,N1,131,520306.6
ADDS_LEAN_SELECT,N1,132,572596.98
ADDS_LEAN_SELECT,N1,133,464600.53
ADDS_LEAN_SELECT,N1,134,448610.09
ADDS_LEAN_SELECT,N1,135,539286.82
ADDS_LEAN_SELECT,N1,136,566013.77
ADDS_LEAN_SELECT,N1,137,504802.07
ADDS_LEAN_SELECT,N1,138,414567.83
ADDS_LEAN_SELECT,N1,139,432073.18
ADDS_LEAN_SELECT,N1,140,512571.96
ADDS_LEAN_SELECT,N1,141,537400.41
ADDS_LEAN_SELECT,N1,142,554863.82
ADDS_LEAN_SELECT,N1,143,590176.91
ADDS_LEAN_SELECT,N1,144,511377.9
ADDS_LEAN_SELECT,N1,145,543614.94
ADDS_LEAN_SELECT,N1,146,541790.78
ADDS_LEAN_SELECT,N1,147,530346.92
ADDS_LEAN_SELECT,N1,148,503979.05
ADDS_LEAN_SELECT,N1,149,503726.93
ADDS_LEAN_SELECT,N1,150,517555.0
ADDS_LEAN_SELECT,N1,151,627049.15
ADDS_LEAN_SELECT,N1,152,536342.52
ADDS_LEAN_SELECT,N1,153,620230.3
ADDS_LEAN_SELECT,N1,154,551524.92
ADDS_LEAN_SELECT,N1,155,549410.04
ADDS_LEAN_SELECT,N1,156,662046.53
ADDS_LEAN_SELECT,N1,157,548742.85
ADDS_LEAN_SELECT,N1,158,518578.35
ADDS_LEAN_SELECT,N1,159,544003.5
ADDS_LEAN_SELECT,N1,160,575334.14
ADDS_LEAN_SELECT,N1,161,513034.73
ADDS_LEAN_SELECT,N1,162,539894.08
ADDS_LEAN_SELECT,N1,163,603659.38
ADDS_LEAN_SELECT,N1,164,591966.88
ADDS_LEAN_SELECT,N1,165,520919.24
ADDS_LEAN_SELECT,N1,166,626422.09
ADDS_LEAN_SELECT,N1,167,588693.5
ADDS_LEAN_SELECT,N1,168,480338.92
ADDS_LEAN_SELECT,N1,169,585596.46
ADDS_LEAN_SELECT,N1,170,544735.65
ADDS_LEAN_SELECT,N1,171,523906.86
ADDS_LEAN_SELECT,N1,172,587307.07
ADDS_LEAN_SELECT,N1,173,563648.66
ADDS_LEAN_SELECT,N1,174,509789.64
ADDS_LEAN_SELECT,N1,175,523397.91
ADDS_LEAN_SELECT,N1,176,690930.92
ADDS_LEAN_SELECT,N1,177,449347.14
ADDS_LEAN_SELECT,N1,178,558246.9
ADDS_LEAN_SELECT,N1,179,498387.28
ADDS_LEAN_SELECT,N1,180,550103.82
ADDS_LEAN_SELECT,N1,181,521680.73
ADDS_LEAN_SELECT,N1,182,543045.4
ADDS_LEAN_SELECT,N1,183,592582.41
ADDS_LEAN_SELECT,N1,184,455176.01
ADDS_LEAN_SELECT,N1,185,576523.75
ADDS_LEAN_SELECT,N1,186,536326.93
ADDS_LEAN_SELECT,N1,187,503708.89
ADDS_LEAN_SELECT,N1,188,563490.58
ADDS_LEAN_SELECT,N1,189,616916.4
ADDS_LEAN_SELECT,N1,190,610833.21
ADDS_LEAN_SELECT,N1,191,561104.93
ADDS_LEAN_SELECT,N1,192,511719.99
ADDS_LEAN_SELECT,N1,193,541991.25
ADDS_LEAN_SELECT,N1,194,409362.12
ADDS_LEAN_SELECT,N1,195,538407.84
ADDS_LEAN_SELECT,N1,196,526875.78
ADDS_LEAN_SELECT,N1,197,480285.44
ADDS_LEAN_SELECT,N1,198,527310.47
ADDS_LEAN_SELECT,N1,199,443761.61
ADDS_LEAN_SELECT,N2,0,546720.47
ADDS_LEAN_SELECT,N2,1,553398.79
ADDS_LEAN_SELECT,N2,2,553398.79
ADDS_LEAN_SELECT,N2,3,587044.83
ADDS_LEAN_SELECT,N2,4,591381.98
ADDS_LEAN_SELECT,N2,5,556983.66
ADDS_LEAN_SELECT,N2,6,554773.07
ADDS_LEAN_SELECT,N2,7,590990.7
ADDS_LEAN_SELECT,N2,8,538152.63
ADDS_LEAN_SELECT,N2,9,587624.83
ADDS_LEAN_SELECT,N2,10,578925.81
ADDS_LEAN_SELECT,N2,11,590257.09
ADDS_LEAN_SELECT,N2,12,577962.84
ADDS_LEAN_SELECT,N2,13,547108.86
ADDS_LEAN_SELECT,N2,14,581560.67
ADDS_LEAN_SELECT,N2,15,543022.15
ADDS_LEAN_SELECT,N2,16,574599.56
ADDS_LEAN_SELECT,N2,17,564610.52
ADDS_LEAN_SELECT,N2,18,566376.98
ADDS_LEAN_SELECT,N2,19,566376.98
ADDS_LEAN_SELECT,N2,20,600293.87
ADDS_LEAN_SELECT,N2,21,538248.06
ADDS_LEAN_SELECT,N2,22,549340.94
ADDS_LEAN_SELECT,N2,23,543022.15
ADDS_LEAN_SELECT,N2,24,545188.83
ADDS_LEAN_SELECT,N2,25,564615.38
ADDS_LEAN_SELECT,N2,26,538248.06
ADDS_LEAN_SELECT,N2,27,485592.38
ADDS_LEAN_SELECT,N2,28,591381.98
ADDS_LEAN_SELECT,N2,29,611025.92
ADDS_LEAN_SELECT,N2,30,543171.66
ADDS_LEAN_SELECT,N2,31,564610.52
ADDS_LEAN_SELECT,N2,32,553398.79
ADDS_LEAN_SELECT,N2,33,577550.07
ADDS_LEAN_SELECT,N2,34,600956.97
ADDS_LEAN_SELECT,N2,35,594238.22
ADDS_LEAN_SELECT,N2,36,588395.51
ADDS_LEAN_SELECT,N2,37,580202.46
ADDS_LEAN_SELECT,N2,38,610640.67
ADDS_LEAN_SELECT,N2,39,538248.06
ADDS_LEAN_SELECT,N2,40,577896.49
ADDS_LEAN_SELECT,N2,41,545188.83
ADDS_LEAN_SELECT,N2,42,666932.49
ADDS_LEAN_SELECT,N2,43,552887.57
ADDS_LEAN_SELECT,N2,44,554159.27
ADDS_LEAN_SELECT,N2,45,629281.41
ADDS_LEAN_SELECT,N2,46,554159.27
ADDS_LEAN_SELECT,N2,47,689370.78
ADDS_LEAN_SELECT,N2,48,627222.16
ADDS_LEAN_SELECT,N2,49,533669.71
ADDS_LEAN_SELECT,N2,50,673342.1
ADDS_LEAN_SELECT,N2,51,603655.8
ADDS_LEAN_SELECT,N2,52,520227.68
ADDS_LEAN_SELECT,N2,53,614082.73
ADDS_LEAN_SELECT,N2,54,546656.12
ADDS_LEAN_SELECT,N2,55,550740.58
ADDS_LEAN_SELECT,N2,56,554159.27
ADDS_LEAN_SELECT,N2,57,543660.96
ADDS_LEAN_SELECT,N2,58,627071.72
ADDS_LEAN_SELECT,N2,59,545188.83
ADDS_LEAN_SELECT,N2,60,540295.67
ADDS_LEAN_SELECT,N2,61,592577.53
ADDS_LEAN_SELECT,N2,62,545432.08
ADDS_LEAN_SELECT,N2,63,578925.81
ADDS_LEAN_SELECT,N2,64,553398.79
ADDS_LEAN_SELECT,N2,65,566376.98
ADDS_LEAN_SELECT,N2,66,564610.52
ADDS_LEAN_SELECT,N2,67,588395.51
ADDS_LEAN_SELECT,N2,68,568611.55
ADDS_LEAN_SELECT,N2,69,593050.45
ADDS_LEAN_SELECT,N2,70,529071.04
ADDS_LEAN_SELECT,N2,71,553398.79
ADDS_LEAN_SELECT,N2,72,577896.49
ADDS_LEAN_SELECT,N2,73,553398.79
ADDS_LEAN_SELECT,N2,74,566376.98
ADDS_LEAN_SELECT,N2,75,610640.67
ADDS_LEAN_SELECT,N2,76,554773.07
ADDS_LEAN_SELECT,N2,77,566915.88
ADDS_LEAN_SELECT,N2,78,619834.48
ADDS_LEAN_SELECT,N2,79,479778.33
ADDS_LEAN_SELECT,N2,80,545188.83
ADDS_LEAN_SELECT,N2,81,542980.07
ADDS_LEAN_SELECT,N2,82,492450.52
ADDS_LEAN_SELECT,N2,83,552887.57
ADDS_LEAN_SELECT,N2,84,553398.79
ADDS_LEAN_SELECT,N2,85,566376.98
ADDS_LEAN_SELECT,N2,86,566157.6
ADDS_LEAN_SELECT,N2,87,591381.98
ADDS_LEAN_SELECT,N2,88,552473.99
ADDS_LEAN_SELECT,N2,89,608903.96
ADDS_LEAN_SELECT,N2,90,552887.57
ADDS_LEAN_SELECT,N2,91,595670.17
ADDS_LEAN_SELECT,N2,92,549340.94
ADDS_LEAN_SELECT,N2,93,562511.15
ADDS_LEAN_SELECT,N2,94,590990.7
ADDS_LEAN_SELECT,N2,95,552887.57
ADDS_LEAN_SELECT,N2,96,542980.07
ADDS_LEAN_SELECT,N2,97,552887.57
ADDS_LEAN_SELECT,N2,98,590990.7
ADDS_LEAN_SELECT,N2,99,553080.92
ADDS_LEAN_SELECT,N2,100,485613.53
ADDS_LEAN_SELECT,N2,101,479778.33
ADDS_LEAN_SELECT,N2,102,673771.55
ADDS_LEAN_SELECT,N2,103,552887.57
ADDS_LEAN_SELECT,N2,104,543022.15
ADDS_LEAN_SELECT,N2,105,572186.28
ADDS_LEAN_SELECT,N2,106,552887.57
ADDS_LEAN_SELECT,N2,107,590990.7
ADDS_LEAN_SELECT,N2,108,551975.03
ADDS_LEAN_SELECT,N2,109,552887.57
ADDS_LEAN_SELECT,N2,110,474621.33
