run,date,equity,n_pos
RANKVOL_BENCH_N10,2016-01-04,100000.0,0
RANKVOL_BENCH_N10,2016-01-05,100000.0,0
RANKVOL_BENCH_N10,2016-01-06,100000.0,0
RANKVOL_BENCH_N10,2016-01-07,100000.0,0
RANKVOL_BENCH_N10,2016-01-08,100000.0,0
RANKVOL_BENCH_N10,2016-01-11,100000.0,0
RANKVOL_BENCH_N10,2016-01-12,100000.0,0
RANKVOL_BENCH_N10,2016-01-13,100000.0,0
RANKVOL_BENCH_N10,2016-01-14,100000.0,0
RANKVOL_BENCH_N10,2016-01-15,100000.0,0
RANKVOL_BENCH_N10,2016-01-19,100000.0,0
RANKVOL_BENCH_N10,2016-01-20,100000.0,0
RANKVOL_BENCH_N10,2016-01-21,100000.0,0
RANKVOL_BENCH_N10,2016-01-22,100000.0,0
RANKVOL_BENCH_N10,2016-01-25,100000.0,0
RANKVOL_BENCH_N10,2016-01-26,100000.0,0
RANKVOL_BENCH_N10,2016-01-27,100000.0,0
RANKVOL_BENCH_N10,2016-01-28,100000.0,0
RANKVOL_BENCH_N10,2016-01-29,100000.0,0
RANKVOL_BENCH_N10,2016-02-01,100682.42,10
RANKVOL_BENCH_N10,2016-02-02,97832.08,10
RANKVOL_BENCH_N10,2016-02-03,98890.22,10
RANKVOL_BENCH_N10,2016-02-04,98972.39,10
RANKVOL_BENCH_N10,2016-02-05,96938.75,10
RANKVOL_BENCH_N10,2016-02-08,94212.93,9
RANKVOL_BENCH_N10,2016-02-09,93539.51,10
RANKVOL_BENCH_N10,2016-02-10,93750.24,10
RANKVOL_BENCH_N10,2016-02-11,92265.48,10
RANKVOL_BENCH_N10,2016-02-12,94200.46,9
RANKVOL_BENCH_N10,2016-02-16,96002.19,10
RANKVOL_BENCH_N10,2016-02-17,97698.22,10
RANKVOL_BENCH_N10,2016-02-18,97023.26,10
RANKVOL_BENCH_N10,2016-02-19,98299.56,10
RANKVOL_BENCH_N10,2016-02-22,99578.4,10
RANKVOL_BENCH_N10,2016-02-23,98434.26,10
RANKVOL_BENCH_N10,2016-02-24,99454.57,9
RANKVOL_BENCH_N10,2016-02-25,100781.93,10
RANKVOL_BENCH_N10,2016-02-26,100436.95,10
RANKVOL_BENCH_N10,2016-02-29,99819.21,10
RANKVOL_BENCH_N10,2016-03-01,102765.77,10
RANKVOL_BENCH_N10,2016-03-02,102900.61,10
RANKVOL_BENCH_N10,2016-03-03,102987.34,10
RANKVOL_BENCH_N10,2016-03-04,103073.86,10
RANKVOL_BENCH_N10,2016-03-07,103071.19,10
RANKVOL_BENCH_N10,2016-03-08,101540.56,10
RANKVOL_BENCH_N10,2016-03-09,101966.55,5
RANKVOL_BENCH_N10,2016-03-10,102395.43,5
RANKVOL_BENCH_N10,2016-03-11,102987.36,5
RANKVOL_BENCH_N10,2016-03-14,103446.53,8
RANKVOL_BENCH_N10,2016-03-15,103221.53,8
RANKVOL_BENCH_N10,2016-03-16,103503.78,8
RANKVOL_BENCH_N10,2016-03-17,103958.24,10
RANKVOL_BENCH_N10,2016-03-18,104624.76,10
RANKVOL_BENCH_N10,2016-03-21,105066.41,10
RANKVOL_BENCH_N10,2016-03-22,105122.49,10
RANKVOL_BENCH_N10,2016-03-23,104393.16,10
RANKVOL_BENCH_N10,2016-03-24,104101.0,9
RANKVOL_BENCH_N10,2016-03-28,104228.03,9
RANKVOL_BENCH_N10,2016-03-29,105373.51,9
RANKVOL_BENCH_N10,2016-03-30,106143.1,10
RANKVOL_BENCH_N10,2016-03-31,105576.38,10
RANKVOL_BENCH_N10,2016-04-01,105978.76,10
RANKVOL_BENCH_N10,2016-04-04,105931.47,10
RANKVOL_BENCH_N10,2016-04-05,105406.4,9
RANKVOL_BENCH_N10,2016-04-06,106602.59,8
RANKVOL_BENCH_N10,2016-04-07,105754.1,10
RANKVOL_BENCH_N10,2016-04-08,106715.56,10
RANKVOL_BENCH_N10,2016-04-11,106086.81,10
RANKVOL_BENCH_N10,2016-04-12,108159.29,10
RANKVOL_BENCH_N10,2016-04-13,109552.62,10
RANKVOL_BENCH_N10,2016-04-14,109733.8,10
RANKVOL_BENCH_N10,2016-04-15,109464.55,10
RANKVOL_BENCH_N10,2016-04-18,110411.13,10
RANKVOL_BENCH_N10,2016-04-19,111171.56,10
RANKVOL_BENCH_N10,2016-04-20,111487.38,10
RANKVOL_BENCH_N10,2016-04-21,110479.13,10
RANKVOL_BENCH_N10,2016-04-22,110180.99,10
RANKVOL_BENCH_N10,2016-04-25,109727.73,8
RANKVOL_BENCH_N10,2016-04-26,109329.59,7
RANKVOL_BENCH_N10,2016-04-27,109773.75,7
RANKVOL_BENCH_N10,2016-04-28,108997.63,10
RANKVOL_BENCH_N10,2016-04-29,107449.78,10
RANKVOL_BENCH_N10,2016-05-02,108083.95,10
RANKVOL_BENCH_N10,2016-05-03,107195.5,10
RANKVOL_BENCH_N10,2016-05-04,106285.69,9
RANKVOL_BENCH_N10,2016-05-05,106623.1,9
RANKVOL_BENCH_N10,2016-05-06,106746.22,10
RANKVOL_BENCH_N10,2016-05-09,107497.88,10
RANKVOL_BENCH_N10,2016-05-10,108112.97,10
RANKVOL_BENCH_N10,2016-05-11,107162.83,10
RANKVOL_BENCH_N10,2016-05-12,106344.46,10
RANKVOL_BENCH_N10,2016-05-13,105717.38,10
RANKVOL_BENCH_N10,2016-05-16,106485.01,10
RANKVOL_BENCH_N10,2016-05-17,105640.19,10
RANKVOL_BENCH_N10,2016-05-18,105540.07,10
RANKVOL_BENCH_N10,2016-05-19,106330.6,10
RANKVOL_BENCH_N10,2016-05-20,107588.75,10
RANKVOL_BENCH_N10,2016-05-23,107535.87,10
RANKVOL_BENCH_N10,2016-05-24,109287.91,10
RANKVOL_BENCH_N10,2016-05-25,109795.89,10
RANKVOL_BENCH_N10,2016-05-26,110213.99,10
RANKVOL_BENCH_N10,2016-05-27,110888.97,10
RANKVOL_BENCH_N10,2016-05-31,111522.04,10
RANKVOL_BENCH_N10,2016-06-01,112070.88,10
RANKVOL_BENCH_N10,2016-06-02,112096.97,10
RANKVOL_BENCH_N10,2016-06-03,111205.43,10
RANKVOL_BENCH_N10,2016-06-06,111057.96,10
RANKVOL_BENCH_N10,2016-06-07,111725.5,10
RANKVOL_BENCH_N10,2016-06-08,111520.62,10
RANKVOL_BENCH_N10,2016-06-09,111438.07,10
RANKVOL_BENCH_N10,2016-06-10,110188.47,10
RANKVOL_BENCH_N10,2016-06-13,109217.18,9
RANKVOL_BENCH_N10,2016-06-14,109219.38,9
RANKVOL_BENCH_N10,2016-06-15,109333.85,10
RANKVOL_BENCH_N10,2016-06-16,109460.59,10
RANKVOL_BENCH_N10,2016-06-17,109203.44,10
RANKVOL_BENCH_N10,2016-06-20,110157.08,10
RANKVOL_BENCH_N10,2016-06-21,110602.8,10
RANKVOL_BENCH_N10,2016-06-22,110465.78,10
RANKVOL_BENCH_N10,2016-06-23,111912.58,10
RANKVOL_BENCH_N10,2016-06-24,106463.16,10
RANKVOL_BENCH_N10,2016-06-27,103952.64,10
RANKVOL_BENCH_N10,2016-06-28,105951.72,10
RANKVOL_BENCH_N10,2016-06-29,108479.46,10
RANKVOL_BENCH_N10,2016-06-30,110028.78,10
RANKVOL_BENCH_N10,2016-07-01,110902.09,10
RANKVOL_BENCH_N10,2016-07-05,109839.63,10
RANKVOL_BENCH_N10,2016-07-06,110069.39,10
RANKVOL_BENCH_N10,2016-07-07,110211.73,10
RANKVOL_BENCH_N10,2016-07-08,111628.42,10
RANKVOL_BENCH_N10,2016-07-11,112464.7,10
RANKVOL_BENCH_N10,2016-07-12,113639.24,10
RANKVOL_BENCH_N10,2016-07-13,112778.12,10
RANKVOL_BENCH_N10,2016-07-14,114161.81,10
RANKVOL_BENCH_N10,2016-07-15,114004.26,10
RANKVOL_BENCH_N10,2016-07-18,114493.71,10
RANKVOL_BENCH_N10,2016-07-19,114541.6,10
RANKVOL_BENCH_N10,2016-07-20,114715.33,10
RANKVOL_BENCH_N10,2016-07-21,115211.04,10
RANKVOL_BENCH_N10,2016-07-22,116081.09,10
RANKVOL_BENCH_N10,2016-07-25,115463.85,10
RANKVOL_BENCH_N10,2016-07-26,115664.65,10
RANKVOL_BENCH_N10,2016-07-27,115948.15,9
RANKVOL_BENCH_N10,2016-07-28,116126.19,9
RANKVOL_BENCH_N10,2016-07-29,116159.17,10
RANKVOL_BENCH_N10,2016-08-01,116767.41,10
RANKVOL_BENCH_N10,2016-08-02,115829.23,10
RANKVOL_BENCH_N10,2016-08-03,116402.82,10
RANKVOL_BENCH_N10,2016-08-04,116059.8,10
RANKVOL_BENCH_N10,2016-08-05,116930.84,10
RANKVOL_BENCH_N10,2016-08-08,116819.09,10
RANKVOL_BENCH_N10,2016-08-09,116936.03,10
RANKVOL_BENCH_N10,2016-08-10,116915.41,10
RANKVOL_BENCH_N10,2016-08-11,118004.61,10
RANKVOL_BENCH_N10,2016-08-12,118374.72,10
RANKVOL_BENCH_N10,2016-08-15,118603.99,10
RANKVOL_BENCH_N10,2016-08-16,118035.5,10
RANKVOL_BENCH_N10,2016-08-17,118487.87,10
RANKVOL_BENCH_N10,2016-08-18,118819.87,10
RANKVOL_BENCH_N10,2016-08-19,118547.44,10
RANKVOL_BENCH_N10,2016-08-22,118304.56,10
RANKVOL_BENCH_N10,2016-08-23,118182.92,10
RANKVOL_BENCH_N10,2016-08-24,117763.35,10
RANKVOL_BENCH_N10,2016-08-25,117658.43,10
RANKVOL_BENCH_N10,2016-08-26,117574.95,10
RANKVOL_BENCH_N10,2016-08-29,118292.32,10
RANKVOL_BENCH_N10,2016-08-30,118191.42,10
RANKVOL_BENCH_N10,2016-08-31,117781.97,10
RANKVOL_BENCH_N10,2016-09-01,118255.86,10
RANKVOL_BENCH_N10,2016-09-02,118496.51,10
RANKVOL_BENCH_N10,2016-09-06,118606.8,10
RANKVOL_BENCH_N10,2016-09-07,118319.56,10
RANKVOL_BENCH_N10,2016-09-08,118188.21,10
RANKVOL_BENCH_N10,2016-09-09,115006.04,10
RANKVOL_BENCH_N10,2016-09-12,116765.86,10
RANKVOL_BENCH_N10,2016-09-13,115220.53,10
RANKVOL_BENCH_N10,2016-09-14,115207.72,10
RANKVOL_BENCH_N10,2016-09-15,116432.7,10
RANKVOL_BENCH_N10,2016-09-16,116096.11,10
RANKVOL_BENCH_N10,2016-09-19,116152.1,10
RANKVOL_BENCH_N10,2016-09-20,116021.86,10
RANKVOL_BENCH_N10,2016-09-21,117213.21,10
RANKVOL_BENCH_N10,2016-09-22,117989.62,10
RANKVOL_BENCH_N10,2016-09-23,117527.35,10
RANKVOL_BENCH_N10,2016-09-26,116652.97,10
RANKVOL_BENCH_N10,2016-09-27,117619.92,10
RANKVOL_BENCH_N10,2016-09-28,118016.3,10
RANKVOL_BENCH_N10,2016-09-29,116874.06,10
RANKVOL_BENCH_N10,2016-09-30,118512.93,10
RANKVOL_BENCH_N10,2016-10-03,118654.08,10
RANKVOL_BENCH_N10,2016-10-04,118075.15,10
RANKVOL_BENCH_N10,2016-10-05,118760.79,10
RANKVOL_BENCH_N10,2016-10-06,118618.4,10
RANKVOL_BENCH_N10,2016-10-07,118704.49,10
RANKVOL_BENCH_N10,2016-10-10,119277.35,10
RANKVOL_BENCH_N10,2016-10-11,117790.14,10
RANKVOL_BENCH_N10,2016-10-12,118037.33,10
RANKVOL_BENCH_N10,2016-10-13,117557.37,10
RANKVOL_BENCH_N10,2016-10-14,116768.01,10
RANKVOL_BENCH_N10,2016-10-17,115801.98,10
RANKVOL_BENCH_N10,2016-10-18,116750.18,10
RANKVOL_BENCH_N10,2016-10-19,117203.87,10
RANKVOL_BENCH_N10,2016-10-20,117258.95,10
RANKVOL_BENCH_N10,2016-10-21,117300.25,10
RANKVOL_BENCH_N10,2016-10-24,117844.08,10
RANKVOL_BENCH_N10,2016-10-25,117192.67,10
RANKVOL_BENCH_N10,2016-10-26,115860.12,10
RANKVOL_BENCH_N10,2016-10-27,115344.37,10
RANKVOL_BENCH_N10,2016-10-28,115575.3,10
RANKVOL_BENCH_N10,2016-10-31,115910.98,10
RANKVOL_BENCH_N10,2016-11-01,115218.84,10
RANKVOL_BENCH_N10,2016-11-02,114731.94,10
RANKVOL_BENCH_N10,2016-11-03,114468.55,10
RANKVOL_BENCH_N10,2016-11-04,114976.38,10
RANKVOL_BENCH_N10,2016-11-07,117676.77,10
RANKVOL_BENCH_N10,2016-11-08,118968.28,10
RANKVOL_BENCH_N10,2016-11-09,121165.16,10
RANKVOL_BENCH_N10,2016-11-10,122982.09,10
RANKVOL_BENCH_N10,2016-11-11,123329.6,10
RANKVOL_BENCH_N10,2016-11-14,123895.73,10
RANKVOL_BENCH_N10,2016-11-15,124522.84,10
RANKVOL_BENCH_N10,2016-11-16,123780.71,10
RANKVOL_BENCH_N10,2016-11-17,124645.85,10
RANKVOL_BENCH_N10,2016-11-18,124402.87,10
RANKVOL_BENCH_N10,2016-11-21,125427.33,10
RANKVOL_BENCH_N10,2016-11-22,125672.05,10
RANKVOL_BENCH_N10,2016-11-23,124622.12,10
RANKVOL_BENCH_N10,2016-11-25,125183.19,10
RANKVOL_BENCH_N10,2016-11-28,123511.67,10
RANKVOL_BENCH_N10,2016-11-29,123543.11,10
RANKVOL_BENCH_N10,2016-11-30,123806.14,10
RANKVOL_BENCH_N10,2016-12-01,122231.34,10
RANKVOL_BENCH_N10,2016-12-02,122506.08,10
RANKVOL_BENCH_N10,2016-12-05,123868.68,10
RANKVOL_BENCH_N10,2016-12-06,124505.31,10
RANKVOL_BENCH_N10,2016-12-07,126133.53,10
RANKVOL_BENCH_N10,2016-12-08,125284.07,10
RANKVOL_BENCH_N10,2016-12-09,125389.29,10
RANKVOL_BENCH_N10,2016-12-12,125671.25,10
RANKVOL_BENCH_N10,2016-12-13,126666.43,10
RANKVOL_BENCH_N10,2016-12-14,125339.72,10
RANKVOL_BENCH_N10,2016-12-15,125460.59,10
RANKVOL_BENCH_N10,2016-12-16,124819.77,10
RANKVOL_BENCH_N10,2016-12-19,124875.45,10
RANKVOL_BENCH_N10,2016-12-20,124816.24,10
RANKVOL_BENCH_N10,2016-12-21,125153.31,10
RANKVOL_BENCH_N10,2016-12-22,124809.88,10
RANKVOL_BENCH_N10,2016-12-23,124835.1,10
RANKVOL_BENCH_N10,2016-12-27,125596.57,10
RANKVOL_BENCH_N10,2016-12-28,124160.91,10
RANKVOL_BENCH_N10,2016-12-29,123912.02,9
RANKVOL_BENCH_N10,2016-12-30,122821.62,9
RANKVOL_BENCH_N10,2017-01-03,124223.02,10
RANKVOL_BENCH_N10,2017-01-04,125174.27,10
RANKVOL_BENCH_N10,2017-01-05,125944.88,10
RANKVOL_BENCH_N10,2017-01-06,126895.2,10
RANKVOL_BENCH_N10,2017-01-09,126364.67,10
RANKVOL_BENCH_N10,2017-01-10,126115.41,10
RANKVOL_BENCH_N10,2017-01-11,127169.25,10
RANKVOL_BENCH_N10,2017-01-12,127193.24,10
RANKVOL_BENCH_N10,2017-01-13,128577.45,10
RANKVOL_BENCH_N10,2017-01-17,126762.29,10
RANKVOL_BENCH_N10,2017-01-18,127592.07,10
RANKVOL_BENCH_N10,2017-01-19,128352.98,10
RANKVOL_BENCH_N10,2017-01-20,128501.68,10
RANKVOL_BENCH_N10,2017-01-23,126906.28,10
RANKVOL_BENCH_N10,2017-01-24,129035.6,10
RANKVOL_BENCH_N10,2017-01-25,130836.6,10
RANKVOL_BENCH_N10,2017-01-26,129433.37,10
RANKVOL_BENCH_N10,2017-01-27,129919.58,10
RANKVOL_BENCH_N10,2017-01-30,128201.93,10
RANKVOL_BENCH_N10,2017-01-31,128125.56,10
RANKVOL_BENCH_N10,2017-02-01,127781.47,9
RANKVOL_BENCH_N10,2017-02-02,128359.96,10
RANKVOL_BENCH_N10,2017-02-03,128992.87,10
RANKVOL_BENCH_N10,2017-02-06,129623.86,10
RANKVOL_BENCH_N10,2017-02-07,129651.56,10
RANKVOL_BENCH_N10,2017-02-08,129273.73,10
RANKVOL_BENCH_N10,2017-02-09,129536.27,10
