seed,p_hat,final_equity
0,0.045726900031535796,616165.86
1,0.045726900031535796,522924.74
2,0.045726900031535796,576286.84
3,0.045726900031535796,573182.26
4,0.045726900031535796,606272.75
5,0.045726900031535796,816639.62
6,0.045726900031535796,619005.62
7,0.045726900031535796,602785.06
8,0.045726900031535796,775949.0
9,0.045726900031535796,546634.38
10,0.045726900031535796,677784.45
11,0.045726900031535796,526319.27
12,0.045726900031535796,806823.65
13,0.045726900031535796,617338.62
14,0.045726900031535796,432181.19
15,0.045726900031535796,526765.82
16,0.045726900031535796,439427.53
17,0.045726900031535796,520912.19
18,0.045726900031535796,749871.39
19,0.045726900031535796,464689.62
20,0.045726900031535796,511397.62
21,0.045726900031535796,774902.78
22,0.045726900031535796,486780.98
23,0.045726900031535796,875292.1
24,0.045726900031535796,686297.75
25,0.045726900031535796,487617.46
26,0.045726900031535796,666018.89
27,0.045726900031535796,551862.4
28,0.045726900031535796,528729.82
29,0.045726900031535796,573049.2
30,0.045726900031535796,591314.52
31,0.045726900031535796,679122.49
32,0.045726900031535796,504272.43
33,0.045726900031535796,587197.08
34,0.045726900031535796,536445.59
35,0.045726900031535796,536565.71
36,0.045726900031535796,341006.88
37,0.045726900031535796,374774.66
38,0.045726900031535796,328750.45
39,0.045726900031535796,554753.21
40,0.045726900031535796,661507.26
41,0.045726900031535796,449398.76
42,0.045726900031535796,491877.79
43,0.045726900031535796,362443.54
44,0.045726900031535796,459267.34
45,0.045726900031535796,345857.62
46,0.045726900031535796,355213.26
47,0.045726900031535796,443104.01
48,0.045726900031535796,521995.24
49,0.045726900031535796,392606.11
50,0.045726900031535796,638516.69
51,0.045726900031535796,646874.29
52,0.045726900031535796,424598.18
53,0.045726900031535796,696150.72
54,0.045726900031535796,524538.66
55,0.045726900031535796,792475.27
56,0.045726900031535796,516997.18
57,0.045726900031535796,500101.86
58,0.045726900031535796,632312.75
59,0.045726900031535796,482212.71
60,0.045726900031535796,572326.12
61,0.045726900031535796,631347.22
62,0.045726900031535796,679712.72
63,0.045726900031535796,339297.91
64,0.045726900031535796,685646.15
65,0.045726900031535796,649095.73
66,0.045726900031535796,583301.0
67,0.045726900031535796,327287.28
68,0.045726900031535796,441531.03
69,0.045726900031535796,503925.53
70,0.045726900031535796,448737.48
71,0.045726900031535796,335234.21
72,0.045726900031535796,568040.1
73,0.045726900031535796,540066.21
74,0.045726900031535796,384727.3
75,0.045726900031535796,735405.58
76,0.045726900031535796,553752.26
77,0.045726900031535796,519991.35
78,0.045726900031535796,555855.04
79,0.045726900031535796,383077.15
80,0.045726900031535796,757887.47
81,0.045726900031535796,525371.57
82,0.045726900031535796,548989.28
83,0.045726900031535796,462964.8
84,0.045726900031535796,664807.09
85,0.045726900031535796,469361.84
86,0.045726900031535796,545886.47
87,0.045726900031535796,461762.78
88,0.045726900031535796,487367.79
89,0.045726900031535796,772120.51
90,0.045726900031535796,413727.76
91,0.045726900031535796,619263.15
92,0.045726900031535796,509561.08
93,0.045726900031535796,443964.08
94,0.045726900031535796,549236.86
95,0.045726900031535796,470341.13
96,0.045726900031535796,425402.46
97,0.045726900031535796,623306.17
98,0.045726900031535796,418413.28
99,0.045726900031535796,328839.03
