run,ticker,entry_date,entry_px,shares,last_date,exit_date,exit_px,reason
RANKVOL_BENCH_N10,AVGO,2016-02-01,13.334,749.5877,2016-02-02,2016-02-03,13.725,rollback
RANKVOL_BENCH_N10,HAL,2016-02-01,31.29,319.3354,2016-02-05,2016-02-08,30.74,rollback
RANKVOL_BENCH_N10,DOW,2016-02-03,45.73,214.2506,2016-02-11,2016-02-12,45.28,rollback
RANKVOL_BENCH_N10,CVX,2016-02-09,85.08,108.9885,2016-02-18,2016-02-19,86.33,rollback
RANKVOL_BENCH_N10,FOXA,2016-02-01,26.84,372.2432,2016-02-23,2016-02-24,26.71,rollback
RANKVOL_BENCH_N10,XRX,2016-02-01,16.996,587.8152,2016-02-23,2016-02-24,16.513,rollback
RANKVOL_BENCH_N10,MDLZ,2016-02-01,42.82,233.3374,2016-02-26,2016-02-29,40.54,rollback
RANKVOL_BENCH_N10,JNPR,2016-02-19,24.0,407.0166,2016-02-26,2016-02-29,24.59,rollback
RANKVOL_BENCH_N10,KLAC,2016-02-01,6.64,1505.0458,2016-03-02,2016-03-03,6.836,rollback
RANKVOL_BENCH_N10,LRCX,2016-02-01,7.12,1403.7223,2016-03-08,2016-03-09,7.355,rollback
RANKVOL_BENCH_N10,JPM,2016-02-01,59.16,168.9318,2016-03-08,2016-03-09,59.15,rollback
RANKVOL_BENCH_N10,TAP,2016-02-01,90.5,110.4199,2016-03-08,2016-03-09,88.6,rollback
RANKVOL_BENCH_N10,AMAT,2016-02-01,17.45,572.6364,2016-03-08,2016-03-09,19.01,rollback
RANKVOL_BENCH_N10,BAC,2016-02-29,12.7,788.5809,2016-03-08,2016-03-09,13.17,rollback
RANKVOL_BENCH_N10,AIG,2016-03-14,52.59,195.6704,2016-03-21,2016-03-22,53.55,rollback
RANKVOL_BENCH_N10,GILD,2016-02-16,90.72,104.7284,2016-03-23,2016-03-24,89.61,rollback
RANKVOL_BENCH_N10,WY,2016-02-24,24.0,405.8842,2016-04-04,2016-04-05,30.87,rollback
